Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
"Uptown , Dallas, TX",32.803657,-96.798105,Yutaka Sushi Bistro,32.797568344000595,-96.80180027446552,Sushi Restaurant
"Uptown , Dallas, TX",32.803657,-96.798105,SunstoneFIT - Uptown Plaza,32.7988307949283,-96.80477107706626,Gym / Fitness Center
"Uptown , Dallas, TX",32.803657,-96.798105,Pho Crimson Express,32.808826510713,-96.79561603559749,Asian Restaurant
"Uptown , Dallas, TX",32.803657,-96.798105,Starbucks,32.79776139571453,-96.7923102112873,Coffee Shop
"Uptown , Dallas, TX",32.803657,-96.798105,City Yoga,32.80830085098026,-96.78954251935271,Yoga Studio
"Uptown , Dallas, TX",32.803657,-96.798105,Shell Shack,32.800372299981106,-96.80058833305803,Seafood Restaurant
"Uptown , Dallas, TX",32.803657,-96.798105,LA Fitness,32.806406687906005,-96.79063166089962,Gym
"Uptown , Dallas, TX",32.803657,-96.798105,Griggs Park,32.796659481568135,-96.79448209815641,Park
"Uptown , Dallas, TX",32.803657,-96.798105,Two Corks and a Bottle,32.79905634542674,-96.80376812871886,Wine Bar
"Uptown , Dallas, TX",32.803657,-96.798105,Whataburger,32.80519163662852,-96.78912761315175,Fast Food Restaurant
"Uptown , Dallas, TX",32.803657,-96.798105,Kalita Humphreys Theater,32.8108297684371,-96.80071427816358,Theater
"Uptown , Dallas, TX",32.803657,-96.798105,Kroger,32.80643774742219,-96.78904287492236,Supermarket
"Uptown , Dallas, TX",32.803657,-96.798105,The Common Table,32.79827792107457,-96.80611626611854,Gastropub
"Uptown , Dallas, TX",32.803657,-96.798105,Asel Art Supply,32.800711079103245,-96.8059210137973,Arts & Crafts Store
"Uptown , Dallas, TX",32.803657,-96.798105,City Surf Fitness,32.80090493357952,-96.80134902122005,Gym
"Uptown , Dallas, TX",32.803657,-96.798105,Tate's,32.79854773805312,-96.80127580655736,Cocktail Bar
"Uptown , Dallas, TX",32.803657,-96.798105,The Dream Cafe,32.799523308734855,-96.80318288358178,Café
